check_in_id,user_name,last_session,check_in,follow_up_message
1,cody,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
2,darlene,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
3,andy,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
4,mandy,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
5,howard,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
6,mary,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
7,julia,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
8,kyle,02-14-2025,03-14-2025,"Hi, just checking to see if you scheduled your dental followup"
-1,naveen_ramon,01-01-2023,04-01-2025,"Hello"
-1,naveen_j_ramen,05-01-2025,05-01-2025,""
-1,hello,04-14-2025,04-14-2025,"hi"
