,Dimension,Resource Name,Description,URL,Phone,combined,Location
0,emotional,American Psychological Association (APA),"The APA offers resources on mental health education, research, and practice, including a locator for psychologists.",https://www.apa.org,,American Psychological Association (APA) https://www.apa.org,Nationwide
1,emotional,National Institute of Mental Health (NIMH),"NIMH provides information on mental disorders, research, and resources for individuals and families.",https://www.nimh.nih.gov,,National Institute of Mental Health (NIMH) https://www.nimh.nih.gov,Nationwide
2,emotional,Mental Health First Aid,A public education program that teaches people how to identify and respond to signs of mental illnesses and substance use disorders.,https://www.mentalhealthfirstaid.org,,Mental Health First Aid https://www.mentalhealthfirstaid.org,Nationwide
3,emotional,The Jed Foundation,A nonprofit organization focused on protecting emotional health and preventing suicide among teens and young adults through education and resources.,https://www.jedfoundation.org,,The Jed Foundation https://www.jedfoundation.org,Nationwide
4,emotional,Support Groups Central,"An online platform offering a variety of support groups for mental health issues, including anxiety, depression, and more.",https://www.supportgroupscentral.com,,Support Groups Central https://www.supportgroupscentral.com,Nationwide
5,emotional,National Center for PTSD,"A resource for veterans and others affected by trauma, offering information, treatment options, and support resources.",https://www.ptsd.va.gov,,National Center for PTSD https://www.ptsd.va.gov,Nationwide
6,emotional,The National Child Traumatic Stress Network,"Offers resources and support for children and families affected by trauma, including educational materials and treatment options.",https://www.nctsn.org,,The National Child Traumatic Stress Network https://www.nctsn.org,Nationwide
7,emotional,The Anxiety Network,"A resource providing information, articles, and support for individuals dealing with anxiety disorders.",https://www.anxietynetwork.com,,The Anxiety Network https://www.anxietynetwork.com,Nationwide
8,emotional,The National Alliance for Grieving Children,"Offers resources and support for children and families grieving the loss of a loved one, including local support groups.",https://childrengrieve.org,,The National Alliance for Grieving Children https://childrengrieve.org,Nationwide
9,emotional,The Recovery Village,"A resource for individuals seeking help for substance abuse and mental health issues, offering treatment options and support.",https://www.therecoveryvillage.com,,The Recovery Village https://www.therecoveryvillage.com,Nationwide
10,emotional,The American Foundation for Suicide Prevention (AFSP),"Provides resources for suicide prevention, including educational materials, support groups, and local chapters.",https://afsp.org,,The American Foundation for Suicide Prevention (AFSP) https://afsp.org,Nationwide
11,emotional,The Center for Nonprofit Research,"Provides resources for finding mental health and emotional wellness nonprofits in your area, including information on services.",https://www.centerfornonprofitresearch.org,,The Center for Nonprofit Research https://www.centerfornonprofitresearch.org,Nationwide
12,emotional,The National Mental Health Consumers' Self-Help Clearinghouse,A resource providing information about peer support and self-help resources for mental health consumers.,https://www.mhselfhelp.org,,The National Mental Health Consumers' Self-Help Clearinghouse https://www.mhselfhelp.org,Nationwide
13,emotional,The National Council for Behavioral Health,Represents mental health and addiction treatment organizations and provides resources for improving mental health care.,https://www.thenationalcouncil.org,,The National Council for Behavioral Health https://www.thenationalcouncil.org,Nationwide
14,emotional,The Wellbeing Trust,A foundation focused on advancing mental health and wellness through community resources and advocacy.,https://wellbeingtrust.org,,The Wellbeing Trust https://wellbeingtrust.org,Nationwide
15,emotional,The National Association of School Psychologists (NASP),Provides resources and support for schools and families to promote emotional wellness and mental health in children and adolescents.,https://www.nasponline.org,,The National Association of School Psychologists (NASP) https://www.nasponline.org,Nationwide
16,emotional,The International Association for Trauma Professionals,"Provides resources, training, and certification for professionals working with trauma-affected individuals.",https://traumaprofessionals.com,,The International Association for Trauma Professionals https://traumaprofessionals.com,Nationwide
17,emotional,The National Domestic Violence Hotline,"A resource for individuals affected by domestic violence, offering support, safety planning, and local resources.",https://www.thehotline.org,1-800-799-SAFE (7233),The National Domestic Violence Hotline https://www.thehotline.org,Nationwide
18,emotional,The Child Mind Institute,"Provides resources for children's mental health, including articles, assessments, and treatment options for various disorders.",https://childmind.org,,The Child Mind Institute https://childmind.org,Nationwide
19,emotional,Psych Central,"An online resource offering articles, forums, and support for mental health issues, including a directory of therapists.",https://psychcentral.com,,Psych Central https://psychcentral.com,Nationwide
20,emotional,The GoodTherapy,"A directory of therapists and mental health professionals, along with educational resources and articles on emotional wellness.",https://www.goodtherapy.org,,The GoodTherapy https://www.goodtherapy.org,Nationwide
21,emotional,New Jersey Hope and Healing,"Offers emotional support and resources for individuals affected by disasters in New Jersey, focusing on recovery and resilience.",https://www.njhopeandhealing.org,1-877-294-HELP (4357),New Jersey Hope and Healing https://www.njhopeandhealing.org,'New Jersey
22,emotional,The New Jersey Mental Health Association,"Provides advocacy, support, and education on mental health issues and community services in New Jersey.",https://www.njmentalhealthassociation.org,1-800-367-6274,The New Jersey Mental Health Association https://www.njmentalhealthassociation.org,'New Jersey
23,emotional,The National Federation of Families for Children's Mental Health,"Focuses on family-driven support and advocacy for children with mental health challenges, offering resources and support networks.",https://ffcmh.org,,The National Federation of Families for Children's Mental Health https://ffcmh.org,Nationwide
24,physical,National Institute of Health (NIH),"NIH provides extensive information on various health topics, including physical wellness, fitness, nutrition, and disease prevention.",https://www.nih.gov,,National Institute of Health (NIH) https://www.nih.gov,Nationwide
25,physical,ChooseMyPlate.gov,"This USDA site provides dietary guidelines, tools, and tips for healthy eating and physical activity for all age groups.",https://www.choosemyplate.gov,,ChooseMyPlate.gov https://www.choosemyplate.gov,Nationwide
26,physical,American Heart Association,"The AHA offers resources on heart health, including physical activity recommendations, nutrition tips, and health education materials.",https://www.heart.org,,American Heart Association https://www.heart.org,Nationwide
27,physical,Fitness.gov,"A government site promoting physical activity with guidelines, resources, and tips for individuals and organizations to improve fitness.",https://www.fitness.gov,,Fitness.gov https://www.fitness.gov,Nationwide
