,Resource Name,Description,URL,Phone,combined,Location
0,National Low Income Housing Coalition (NLIHC)  ,"A nonprofit organization advocating for affordable housing for low-income individuals and families, providing resources and information on housing policies and funding.  ",https://nlihc.org  ,NaN  ,National Low Income Housing Coalition (NLIHC)   https://nlihc.org  ,Nationwide
1,National Housing Trust  ,"A nonprofit organization focused on preserving and improving affordable housing, providing policy recommendations and funding opportunities.  ",https://www.nhtinc.org  ,NaN  ,National Housing Trust   https://www.nhtinc.org  ,Nationwide
2,Housing Assistance Council (HAC)  ,"A national nonprofit that supports affordable housing for rural communities through research, resources, and technical assistance.  ",https://www.ruralhome.org  ,NaN  ,Housing Assistance Council (HAC)   https://www.ruralhome.org  ,Nationwide
3,New Jersey Housing and Mortgage Finance Agency (NJHMFA)  ,"Offers financial assistance for homebuyers and renters, as well as affordable housing development programs throughout New Jersey.  ",https://www.njhousing.gov  ,(609) 278-7400  ,New Jersey Housing and Mortgage Finance Agency (NJHMFA)   https://www.njhousing.gov  ,New Jersey
4,U.S. Interagency Council on Homelessness (USICH)  ,A federal agency that coordinates the federal response to homelessness and provides resources for communities to reduce homelessness.  ,https://www.usich.gov  ,NaN  ,U.S. Interagency Council on Homelessness (USICH)   https://www.usich.gov  ,Nationwide
5,Affordable Housing Online  ,"A comprehensive resource listing affordable housing options available across the United States, including low-income housing tax credit properties.  ",https://affordablehousingonline.com  ,NaN  ,Affordable Housing Online   https://affordablehousingonline.com  ,Nationwide
6,New Jersey Tenants Organization  ,"Advocates for tenant rights in New Jersey, providing resources, legal assistance, and support for renters facing eviction or housing discrimination.  ",http://www.njto.org  ,(732) 819-0500  ,New Jersey Tenants Organization   http://www.njto.org  ,'New Jersey
7,National Coalition for the Homeless  ,"Advocacy organization working to prevent and end homelessness through public education, policy initiatives, and community partnerships.  ",https://www.nationalhomeless.org  ,NaN  ,National Coalition for the Homeless   https://www.nationalhomeless.org  ,Nationwide
8,The U.S. Department of Veterans Affairs (VA)  ,"Offers housing assistance for veterans, including the HUD-VASH program, which provides rental assistance and case management for homeless veterans.  ",https://www.va.gov/homeless  ,NaN  ,The U.S. Department of Veterans Affairs (VA)   https://www.va.gov/homeless  ,Nationwide
9,New Jersey Coalition to End Homelessness  ,"A statewide organization that works to prevent and end homelessness in New Jersey through advocacy, education, and collaborative efforts.  ",https://njceh.org  ,(732) 246-0003  ,New Jersey Coalition to End Homelessness   https://njceh.org  ,New Jersey
