,Resource Name,Description,URL,Phone,combined,Location
0,National Transit Database,"The National Transit Database provides information on public transportation systems in the U.S., including ridership statistics and funding information.",https://www.transit.dot.gov/ntd,,National Transit Database https://www.transit.dot.gov/ntd,Nationwide
1,511 Traveler Information,"511 is a toll-free phone service providing real-time traffic and travel information, including road conditions and transit options across the U.S.",https://www.511.gov/,,511 Traveler Information https://www.511.gov/,Nationwide
2,Transportation Security Administration (TSA),"The TSA is responsible for ensuring the security of transportation systems in the U.S., providing travel information and guidelines for travelers.",https://www.tsa.gov/,1-866-289-9673,Transportation Security Administration (TSA) https://www.tsa.gov/,Nationwide
3,Amtrak,"Amtrak provides intercity train service across the U.S., offering schedules, fares, and travel information for passengers.",https://www.amtrak.com/,1-800-872-7245,Amtrak https://www.amtrak.com/,Nationwide
4,Greyhound Lines,"Greyhound offers intercity bus travel across the U.S., with schedules, fares, and booking options available online.",https://www.greyhound.com/,1-800-231-2222,Greyhound Lines https://www.greyhound.com/,Nationwide
5,Lyft,"Lyft is a ridesharing service available in many U.S. cities, providing on-demand transportation via a mobile app.",https://www.lyft.com/,,Lyft https://www.lyft.com/,Nationwide
6,Uber,"Uber offers ridesharing services in numerous locations across the U.S., allowing users to request rides through its mobile app.",https://www.uber.com/,,Uber https://www.uber.com/,Nationwide
7,Paratransit Services,"Many U.S. cities offer paratransit services for individuals with disabilities, providing accessible transportation options.",https://www.transit.dot.gov/transportation-options-people-disabilities,,Paratransit Services https://www.transit.dot.gov/transportation-options-people-disabilities,Nationwide
8,Federal Transit Administration (FTA),"The FTA provides financial and technical assistance to local transit systems, promoting safe and accessible transit services.",https://www.transit.dot.gov/,1-202-366-4043,Federal Transit Administration (FTA) https://www.transit.dot.gov/,Nationwide
9,Ride Sharing Resources,"A comprehensive list of various ridesharing services available across the U.S., helping individuals find transportation options.",https://rideshareinfo.com/,,Ride Sharing Resources https://rideshareinfo.com/,Nationwide
10,American Public Transportation Association (APTA),"APTA advocates for public transit and provides resources, research, and information on public transportation across the U.S.",https://www.apta.com/,1-202-496-4800,American Public Transportation Association (APTA) https://www.apta.com/,Nationwide
11,Zipcar,"Zipcar is a car-sharing service available in cities across the U.S., providing access to vehicles for short-term rentals.",https://www.zipcar.com/,,Zipcar https://www.zipcar.com/,Nationwide
12,Community Transit,"Community Transit provides public transportation services in various counties, focusing on local routes and services.",https://www.communitytransit.org/,,Community Transit https://www.communitytransit.org/,Nationwide
13,National Highway Traffic Safety Administration (NHTSA),NHTSA promotes safe driving practices and provides information on vehicle safety and transportation regulations.,https://www.nhtsa.gov/,1-888-327-4236,National Highway Traffic Safety Administration (NHTSA) https://www.nhtsa.gov/,Nationwide
14,Uber for Business,"Uber for Business offers rideshare solutions tailored for companies, providing transportation options for employees.",https://www.uber.com/us/en/business/,,Uber for Business https://www.uber.com/us/en/business/,Nationwide
15,Transportation Alternatives,"This organization advocates for walking, biking, and public transit in New York City and beyond, providing resources for sustainable transportation.",https://transalt.org/,1-212-629-8080,Transportation Alternatives https://transalt.org/,Nationwide
16,Ride Connection,"Ride Connection offers transportation services for seniors and individuals with disabilities in the Portland, Oregon area.",https://rideconnection.org/,1-503-226-0700,Ride Connection https://rideconnection.org/,Nationwide
17,Smart Growth America,"This organization promotes smart growth and sustainable transportation initiatives across the U.S., providing resources and advocacy.",https://smartgrowthamerica.org/,1-202-207-3355,Smart Growth America https://smartgrowthamerica.org/,Nationwide
18,New Jersey Transportation Planning Authority (NJTPA),"NJTPA coordinates transportation planning efforts in northern New Jersey, providing resources and information for residents.",https://www.njtpa.org/,1-973-639-8400,New Jersey Transportation Planning Authority (NJTPA) https://www.njtpa.org/,'New Jersey
19,NADA Drive,NADA Drive is a resource for finding transportation assistance and information for individuals seeking help with driving and car ownership.,https://www.nada.org/,,NADA Drive https://www.nada.org/,Nationwide
20,National Center for Mobility Management (NCMM),"NCMM provides resources, tools, and best practices to improve mobility options for people across the U.S.",https://nationalcenterformobilitymanagement.org/,,National Center for Mobility Management (NCMM) https://nationalcenterformobilitymanagement.org/,Nationwide
21,GoTransit,GoTransit provides information on public transportation options and services in various regions across the U.S.,https://www.gotransit.com/,,GoTransit https://www.gotransit.com/,Nationwide
22,Citymapper,"Citymapper is a mobile app that provides real-time public transit information, including route planning and live updates for various cities.",https://citymapper.com/,,Citymapper https://citymapper.com/,Nationwide
23,Transportation for America,An advocacy organization focused on improving transportation policies and infrastructure to enhance mobility across the U.S.,https://t4america.org/,1-202-350-6440,Transportation for America https://t4america.org/,Nationwide
24,Local Public Transportation Agencies,Local agencies provide specific transportation solutions and resources tailored to their respective communities across the U.S.,https://www.transit.dot.gov/about/overview/transit-agencies,,Local Public Transportation Agencies https://www.transit.dot.gov/about/overview/transit-agencies,Nationwide
25,RideShare NJ,RideShare NJ provides information and resources for carpooling and vanpooling options in New Jersey.,https://www.rideshare.nj.gov/,1-888-313-2000,RideShare NJ https://www.rideshare.nj.gov/,'New Jersey
26,Senior Transportation Services,"Various programs across the U.S. provide transportation services specifically designed for seniors, addressing their mobility needs.",https://www.eldercare.gov/,,Senior Transportation Services https://www.eldercare.gov/,'Nationwide
