County,Resource Type,Organization,Website,Phone,Address
Lycoming,FEP Site,CSG EPIC,https://csgonline.org/csg-williamsport/,(877) 907-7970,"1000 Commerce Park Dr#110Williamsport, PA 17701"
Allegheny,FEP Site,ENGAGE Allegheny,www.wfspa.org,(412) 694-6142,"221 Penn AveWilkinsburg, PA 15221"
Westmoreland,FEP Site,ENGAGE Westmoreland,www.wfspa.org,(724) 335-9883,"1045 4th AvenueNew Kensington, PA 15068"
Monroe,FEP Site,HOPE Carbon/Monroe,www.cscwv.org,(877) 433-5112 Ext: 758,"912 Main StStroudsburg, PA 18360"
Luzerne,FEP Site,HOPE Luzerne/Wyoming,www.cscwv.org,(570) 825-6425,"335 South Franklin StreetWilkes-Barre, PA 18702"
Wayne,FEP Site,HOPE Pike/Wayne,www.cscwv.org,(570) 253-0321,"840 Main StreetHonesdale, PA 18431"
Centre,FEP Site,InSight,https://oasislifecarellc.com/insight.html,(814) 237-0001,"1951 Pine Hall RoadSuite 225State College, PA 16801"
Bucks,FEP Site,OnMyWay Bucks,www.childandfamilyfocus.org/services/on-my-way,(610) 308-9272,"1111 Street RoadSuite 103Southampton, PA 18966"
Chester,FEP Site,OnMyWay Chester,www.childandfamilyfocus.org/services/on-my-way,(610) 732-8683,"11 Davis RoadSuite 335Phoenixville, PA 19460"
Delaware,FEP Site,OnMyWay Delaware,www.childandfamilyfocus.org/services/on-my-way,(610) 732-8683,"450 Parkway Drive#208Broomall, PA 19008"
Lehigh,FEP Site,OnMyWay Lehigh,www.childandfamilyfocus.org,(610) 732-8683,"2015 Hamilton StreetAllentown, PA 18104"
Northampton,FEP Site,OnMyWay Northampton,www.childandfamilyfocus.org,(610) 732-8683,"2015 Hamilton StreetAllentown, PA 18104"
Philadelphia,FEP Site,PEACE,www.hhinc.org/peace,(215) 387-3223,"520 Delaware AveSuite 303Philadelphia, PA 19123"
Philadelphia,FEP Site,PERC,www.med.upenn.edu/bbl/penn-perc.html,(215) 662-2826,"3400 Spruce StreetPhiladelphia, PA 19104"
Erie,FEP Site,Safe Harbor,www.shbh.org,(814) 451-2283,"1330 W 26th StreetErie, PA 16508"
Allegheny,FEP Site,STEP,,(412) 246-5599,"3501 Forbes Ave3rd Floor, #308Pittsburgh, PA 15213"
Carbon,Outpatient Behavioral Health Center,Outpatient Behavioral Health,,(610) 377-5988,"281 N 12th StreetLeighton, PA 18235"
Delaware,Parent Organization Secondary Schools,Garnet Valley Middle School; HSA,https://www.garnetvalleyschools.com/gvms,(610) 579-5100,"601 Smithbridge RoadGlen Mills, PA 19342"
Erie,Parent Organization Secondary Schools,Northwestern Elementary School; PTO,https://sites.google.com/nwsd.org/nw-elementary/home     https://www.facebook.com/groups/NWEPTC/,(814) 756-9400 Ext: 2,"10450 John Williams AvenueAlbion, PA 16401"
Lycoming,Outpatient Behavioral Health Center,Lagniappe Behavioral Health,,(570) 979-9990,"360 Market St#201Williamsport, PA 17701"
Centre,Outpatient Behavioral Health Center,Therapeutic Alliance,,(814) 234-1053,"315 S Allen Street#422State College, PA 16801"
Monroe,Community Organization,Community Care Behavioral Health,https://www.ccbh.com/,(866) 473-5862,"300 Community Drive#FTobyhanna, PA 18466"
Monroe,Community Organization,Crossroads Community Services – East Stroudsburg,https://www.rhd.org/program/crossroads-housingcommunity-services/,(570) 476-9228,"37 Dansbury TerraceEast Stroudsburg, PA 18301"
Monroe,Outpatient Behavioral Health Center Residential Treatment Facility,The ReDCo Group – Stroudsburg,redcogrp.com,(570) 420-8070,"564 Main StreetStroudsburg, PA 18360"
Pike,Outpatient Behavioral Health Center,Behavioral Health Services – Hawley,,(570) 775-9276,"117A Pike County BlvdHawley, PA 18428"
Westmoreland,Private Psychiatry Practice,The Counseling & Wellnes Center,https://www.counseling-and-wellness-center.com/,(877) 831-5059,"400 Depot StreetLatrobe, PA 15650"
Westmoreland,Outpatient Behavioral Health Center,Westmoreland Psychotherapy Associates,https://www.wpatherapy.com/,(724) 733-3491,"4115 William Penn HwySuite 201Murrysville, PA 15668"
Westmoreland,General Hospital,Independence Health Frick Hospital,https://www.excelahealth.org/locations/frick-hospital/,(724) 547-1500,"508 South Church StreetMount Pleasant, PA 15666"
Cameron,Government Agency,Cameron County Commissioners Office,https://www.cameroncountypa.com/government/commissioners/index.php,(814) 486-3176,"20 E. 5th St.Emporium, PA 15834"
Forest,Government Agency,Forest County Commissioners Office,https://www.co.forest.pa.us/government/county_commissioners.php,(814) 755-3537,"526 Elm Street#3Tionesta, PA 16353"
Fulton,Government Agency,Fulton County Commissioners Office,https://www.co.fulton.pa.us/commissioners.php,(717) 485-3691,"116 West Market StreetSuite 203McConnellsburg, PA 17233"
Juniata,Government Agency,Juniata County Commissioners Office,https://www.juniataco.org/elected-officials/commissioners/,(717) 436-7700,"The Bousum Building26 N. Main StreetMifflintown, PA 17059"
Sullivan,Government Agency,Sullivan County Commissioners Office,https://www.sullivancountypa.gov/commissioners,(570) 946-5201,"245 Muncy StreetPO Box 157Laporte, PA 18686"
Bucks,Outpatient Behavioral Health Center,Lower Bucks Wellness,https://lowerbuckswellness.com/,(267) 352-3730,"601 New Britain RoadBuilding 100Doylestown, PA 18901"
Dauphin,FEP Site,CAPSTONE,www.ppimhs.org/programs/capstone-program,(717) 782-4349,"401 Division StreetHarrisburg, PA 17110"
Philadelphia,FEP Site,CHOP FEP,www.chop.edu/centers-programs/first-episode-psychosis-fep-program,(215) 590-7555,"4601 Market StreetSuite 3000Philadelphia, PA 19139"
Erie,Parent Organization Secondary Schools,Fort Leboeuf Middle School; PTO,,(814) 796-2681,"865 Cherry StreetWaterford, PA 16441"
Erie,Parent Organization Secondary Schools,Grandview Elementary School; PTA,https://www.mtsd.org/,(814) 836-6300,"4301 Lancaster RoadErie, PA 16506"
Erie,Parent Organization Secondary Schools,Grover Cleveland Elementary School; PTSA,https://www.eriesd.org/Page/1,(814) 874-6670,"1540 W. 38th St.Erie, PA 16508"
Delaware,Parent Organization Secondary Schools,Garnet Valley Elementary School; HSA,https://www.garnetvalleyschools.com/gves,(610) 579-4150,"559 Smithbridge RoadGlen Mills, PA 19342"
Erie,Parent Organization Secondary Schools,Joanna Connell Elementary School; PTO,https://www.eriesd.org/Page/1,(814) 874-6785,"1820 East 38th StreetErie, PA 16510"
Erie,Parent Organization Secondary Schools,McDowell Intermediate High School; PTO,https://www.mtsd.org/,(814) 835-5487,"3320 Caughey RoadErie, PA 16506"
Erie,Parent Organization Secondary Schools,McKean Elementary School; PTA,,(814) 273-1033 Ext: 4900,"5120 West RoadMcKean, PA 16426"
Bucks,Parent Organization Secondary Schools,Oak Ridge Elementary School; HSA,https://oakridge.soudertonsd.org/,(215) 256-6633,"465 Moyer RoadHarleysville, PA 19438"
Erie,Parent Organization Secondary Schools,Chestnut Hill Elementary School; PTA,https://www.mtsd.org/,(814) 835-5550,"1001 West 54th StreetErie, PA 16509"
Delaware,Parent Organization Secondary Schools,Coopertown Elementary School; PTO,https://www.haverford.k12.pa.us/,(610) 853-5900 Ext: 3000,"800 Coopertown RoadBryn Mawr, PA 19010"
Erie,Parent Organization Secondary Schools,James W. Parker Middle School; PTSA,,(814) 273-1033 Ext: 2900,"11781 Edinboro RoadEdinboro, PA 16412"
Erie,Parent Organization Secondary Schools,Strong Vincent Middle School; PTSA,https://www.eriesd.org/Page/1,(814) 874-6500,"1330 West 8th StreetErie, PA 16502"
Erie,Parent Organization Secondary Schools,Tracy Elementary School; PTA,https://www.mtsd.org/     https://www.facebook.com/tracyschoolpta/,(814) 835-5800,"2624 West 6th StreetErie, PA 16505"
Erie,Parent Organization Secondary Schools,Walnut Creek Middle School; PTA,https://www.mtsd.org/,(814) 835-5700,"5901 Sterrettania RoadFairview, PA 16415"
Lehigh,Parent Organization Secondary Schools,Macungie Elementary School; PTO,https://www.eastpennsd.org/,(610) 965-1617,"4062 Brookside RoadMacungie, PA 18062"
Westmoreland,Private Psychiatry Practice,Speeney Psychiatric Services,speenypsych.com,(240) 803-2499,"PO Box 251Pleasant Unity, PA 15676"
Wayne,Outpatient Behavioral Health Center,PA Treatment & Healing (Path to Change),https://pathtochange.org/,(570) 253-3980,"1855 Fair AvenueHonesdale, PA 18431"
Bucks,Parent Organization Secondary Schools,Inglewood Elementary School; HSA,https://inglewood.npenn.org/,(215) 368-2992,"1313 Allentown RoadLansdale, PA 19446"
Bucks,Private Psychiatry Practice,Bucks Psychiatry,,(484) 352-3852,"411 Executive DriveLanghorne, PA 19047"
Bucks,Private Psychiatry Practice,Buckingham Psychiatry,buckinghampsychiatry.com,(484) 466-5560,"3655 US-202Suite 225Doylestown, PA 18902"
Bucks,Parent Organization Secondary Schools,Sol Feinstone Elementary School; PTO,https://www.crsd.org/solfeinstonees,(215) 944-2400,"1090 Eagle RdNewtown, PA 18940"
Bucks,Parent Organization Secondary Schools,Walter Miller Elementary School; PTO,https://www.neshaminy.org/Page/1,(215) 809-6360,"10 Cobalt Ridge DriveLevittown, PA 19056"
Bucks,Parent Organization Secondary Schools,West Broad Street Elementary School; PTO,https://westbroad.soudertonsd.org/,(215) 723-1711,"342 West Broad StreetSouderton, PA 18964"
Bucks,Parent Organization Secondary Schools,Snyder-Girotti Elementary School; PTO,https://www.bbsd.org/index.asp,(215) 781-1000 Ext: 1025,"450 Beaver StreetBristol, PA 19007"
Erie,Parent Organization Secondary Schools,Edinboro Elementary School; PTO,,(814) 273-1033 Ext: 3900,"5390 Route 6N WestEdinboro, PA 16412"
Erie,Parent Organization Secondary Schools,Harding Elementary School; PTO,https://www.eriesd.org/Page/1,(814) 874-6550,"820 Lincoln AvenueErie, PA 16505"
Bucks,Parent Organization Secondary Schools,Salford Hills Elementary School; HSA,https://salfordhills.soudertonsd.org/,(610) 287-9197,"2721 Barndt RoadHarleysville, PA 19438"
Bucks,Parent Organization Secondary Schools,New Hope-Solebury Lower Elementary School; HSA,https://www.nhsd.org/,(215) 297-5438,"3020 North Sugan RoadSolebury, PA 18963"
Bucks,Parent Organization Secondary Schools,E.M.C. Elementary School; HSA,https://emc.soudertonsd.org/,(215) 723-5949,"143 South School LaneSouderton, PA 18964"
Bucks,Parent Organization Secondary Schools,Franconia Elementary School; HSA,https://franconia.soudertonsd.org/,(215) 723-2596,"366 Harleysville PikeSouderton, PA 18964"
Bucks,Parent Organization Secondary Schools,Vernfield Elementary School; PTO,https://vernfield.soudertonsd.org/,(215) 721-0606,"960 Long Mill RoadTelford, PA 18969"
Erie,Parent Organization Secondary Schools,Jefferson Elementary School; PTO,https://www.eriesd.org/Page/1,(814) 874-6650,"230 East 38th StreetErie, PA 16504"
Lehigh,Parent Organization Secondary Schools,Northwestern Lehigh Middle School; PTO,https://www.nwlehighsd.org/,(610) 298-8661,"6636 Northwest RdNew Tripoli, PA 18066"
Erie,Parent Organization Secondary Schools,Fairview Elementary School; PTO,,(814) 474-3123,"5145 Avonia RoadFairview, PA 16415"
Erie,Parent Organization Secondary Schools,Asbury Elementary School; PTA,https://www.mtsd.org/,(814) 836-6100,"5875 Sterrettania RoadFairview, PA 16415"
Delaware,Parent Organization Secondary Schools,Bethel Springs Elementary School; HSA,https://www.garnetvalleyschools.com/bses,(610) 579-3000,"3280 Foulk RoadGarnet Valley, PA 19060"
Erie,Parent Organization Secondary Schools,Mill Village Elementary School; PTO,,(814) 796-2638,"2757 E Center StreetMill Village, PA 16427"
Erie,Parent Organization Secondary Schools,Northwest Pennsylvania Collegiate Academy; PTSO,https://www.eriesd.org/Page/1,(814) 874-6300,"2825 State StreetErie, PA 16508"
Delaware,Parent Organization Secondary Schools,Concord Elementary School; HSA,https://www.garnetvalleyschools.com/ces,(610) 579-6100,"114 StationGlen Mills, PA 19342"
Erie,Parent Organization Secondary Schools,Fairview Middle School; PTO,,(814) 474-2600,"4967 Avonia RoadFairview, PA 16415"
Delaware,Parent Organization Secondary Schools,Radnor Elementary School; PTO,https://res.rtsd.org/,(610) 788-9300,"20 Matsonford RoadRadnor, PA 19087"
Bucks,Parent Organization Secondary Schools,Cold Spring Elementary School; HSA,https://www.cbsd.org/,(267) 893-3800,"4150 Durham RoadDoylestown, PA 18902"
Northampton,Parent Organization Secondary Schools,Moore Elementary School; PTA,https://www.nasdschools.org/,(610) 837-1859,"2835 Mountain DriveBath, PA 18014"
Tioga,Parent Organization Secondary Schools,Rock L. Butler Middle School; PTO,https://www.wellsborosd.org/,(570) 724-2306,"9 Nichols StreetWellsboro, PA 16901"
Bucks,Parent Organization Secondary Schools,Goodnoe Elementary School; PTO,https://www.crsd.org/goodnoees,(215) 944-2100,"298 Frost LaneNewtown, PA 18940"
Delaware,Parent Organization Secondary Schools,Scenic Hills Elementary School; HSA,https://www.ssdcougars.org/,(610) 938-6600,"235 Hillview DriveSpringfield, PA 19064"
Bucks,Parent Organization Secondary Schools,Knapp Elementary School; HSA,https://knapp.npenn.org/,(215) 368-2054,"698 Knapp Elementary SchoolLansdale, PA 19446"
Bucks,Parent Organization Secondary Schools,Doyle Elementary School; HSA,https://www.cbsd.org/,(267) 893-4300,"260 North West StreetDoylestown, PA 18901"
Bucks,Parent Organization Secondary Schools,North Wales Elementary School; HSA,https://northwales.npenn.org/,(215) 699-4471,"201 Summit StreetNorth Wales, PA 19454"
Delaware,Parent Organization Secondary Schools,Parkside Elementary School; PTL,https://www.pdsd.org/,(610) 497-6300,"2 East Forestview RoadParkside, PA 19015"
Delaware,Parent Organization Secondary Schools,Aston Elementary School; PTL,https://www.pdsd.org/,(610) 497-6300,"900 Tryens RoadAston, PA 19014"
Northampton,Parent Organization Secondary Schools,Plainfield Elementary School; PTO,https://www.penargylschooldistrict.org/penargyl/,(610) 746-4436,"539 School RoadNazareth, PA 18064"
Bucks,Parent Organization Secondary Schools,Quakertown Elementary School; PIE,https://qes.qcsd.org/,(215) 529-2410,"123 South Seventh StreetQuakertown, PA 18951"
Northampton,Parent Organization Secondary Schools,George Wolf Elementary School; PTA,https://www.nasdschools.org/,(610) 837-1833,"300 Allen StreetBath, PA 18014"
Lycoming,Parent Organization Secondary Schools,Salladasburg Elementary School; PTO,https://www.jsasd.org/,(570) 398-2931,"3490 Rte. 287 HwyJersey Shore, PA 17740"
