County,Resource Type,Organization,Website,Phone,Address,Generated Description
Lycoming,FEP Site,CSG EPIC,https://csgonline.org/csg-williamsport/,(877) 907-7970,"1000 Commerce Park Dr#110Williamsport, PA 17701","CSG EPIC, located at 1000 Commerce Park Dr #110 in Williamsport, PA, provides comprehensive mental health and intellectual disability services. They focus on empowering individuals through adult and youth mental health programs, intellectual and developmental disability support, and Mental Health First Aid training. The organization employs innovative approaches to foster healthier, more independent living, catering to diverse needs within the community. CSG is committed to enhancing the quality of life for its clients through a holistic support system and is recognized as a Certified B Corporation."
Allegheny,FEP Site,ENGAGE Allegheny,www.wfspa.org,(412) 694-6142,"221 Penn AveWilkinsburg, PA 15221","ENGAGE Allegheny, located in Wilkinsburg, PA, is a specialized team focused on providing support for young individuals aged 15-30 experiencing their first episode of psychosis, with an emphasis on early intervention. The program aims to enhance clients' quality of life and independence in social and employment settings while supporting families. By reducing the duration of untreated psychosis, ENGAGE seeks to prevent subsequent episodes. The program is partially funded by a Mental Health Block Grant through the State of Pennsylvania, making it accessible to residents needing assistance."
Westmoreland,FEP Site,ENGAGE Westmoreland,www.wfspa.org,(724) 335-9883,"1045 4th AvenueNew Kensington, PA 15068","ENGAGE Westmoreland, located in New Kensington, PA, specializes in providing tailored support for youth aged 15-30 experiencing their first episode of psychosis. The program aims to enhance clients' independence and quality of life in social and employment contexts while involving families in the process. By focusing on early intervention, ENGAGE seeks to minimize the duration of untreated psychosis and prevent recurrence. The initiative is backed by state funding and may be covered by insurance for Pennsylvania residents. However, ENGAGE does not provide clinical services or emergency care."
Monroe,FEP Site,HOPE Carbon/Monroe,www.cscwv.org,(877) 433-5112 Ext: 758,"912 Main StStroudsburg, PA 18360","HOPE Carbon/Monroe, located at 912 Main St, Stroudsburg, PA, is an early intervention program for individuals aged 15-30 experiencing symptoms of psychosis or their first episode within the last 12 months. With a specialty coordinated care team, the program emphasizes shared decision-making, recovery, resiliency, and goal achievement. Supported by a Mental Health Block Grant, HOPE offers services across six counties in Pennsylvania. Note that while they provide essential support and resources, they do not offer clinical services or emergency care; for crises, individuals should contact the 988 Suicide and Crisis Lifeline or Crisis Text Line."
Luzerne,FEP Site,HOPE Luzerne/Wyoming,www.cscwv.org,(570) 825-6425,"335 South Franklin StreetWilkes-Barre, PA 18702","Skipped due to timeout, missing website, or no useful content found."
Wayne,FEP Site,HOPE Pike/Wayne,www.cscwv.org,(570) 253-0321,"840 Main StreetHonesdale, PA 18431","HOPE Pike/Wayne, located at 840 Main Street, Honesdale, PA, offers comprehensive mental health services through the Children's Service Center. Key programs include outpatient services, family-based therapy, crisis intervention, and specialized programs for autism and substance use disorders. The facility focuses on early intervention for psychosis and provides holistic support through blended case management and integrated health care services. Staffed by licensed therapists and board-certified psychiatrists, the center is dedicated to improving emotional and psychological well-being in a confidential, supportive environment."
Centre,FEP Site,InSight,https://oasislifecarellc.com/insight.html,(814) 237-0001,"1951 Pine Hall RoadSuite 225State College, PA 16801","InSight, located in State College, PA, offers Coordinated Specialty Care for individuals aged 14-30 experiencing their first episode of psychosis. Their evidence-based program emphasizes early detection and intervention to prevent symptom worsening, build life skills, and support recovery. Participants engage with a specially trained team, starting with admission paperwork and a screening in their first session. Following this, they receive medication management and peer support, with options for individual and group therapy up to three hours a week. InSight is dedicated to guiding participants on their journey toward a fulfilling life."
Bucks,FEP Site,OnMyWay Bucks,www.childandfamilyfocus.org/services/on-my-way,(610) 308-9272,"1111 Street RoadSuite 103Southampton, PA 18966","OnMyWay Bucks, located in Southampton, PA, offers a Coordinated Specialty Care (CSC) approach for young adults aged 15-30 experiencing their first episode of psychosis. Services include low-dose medication management, individual and group therapy, family support, case management, and peer support, emphasizing the individual's choice in their recovery. The program aims to enhance quality of life by fostering community reintegration and relationship rebuilding. Support is provided for up to two years, with eligibility for residents experiencing symptoms for up to 18 months. Medicaid may cover some services, supplemented by state grants."
Chester,FEP Site,OnMyWay Chester,www.childandfamilyfocus.org/services/on-my-way,(610) 732-8683,"11 Davis RoadSuite 335Phoenixville, PA 19460","OnMyWay Chester, located in Phoenixville, PA, provides Coordinated Specialty Care (CSC) for young adults aged 15-30 experiencing their first episode of psychosis. The program offers services including low-dose medication management, individual and group therapy, family psychoeducation, case management, and supported education and employment. Emphasizing the individual’s autonomy, OnMyWay aims to enhance the quality of life through recovery support and community reintegration. The program serves residents of various counties in Pennsylvania, providing assistance for up to two years and is partially covered by Medicaid and state mental health grants."
Delaware,FEP Site,OnMyWay Delaware,www.childandfamilyfocus.org/services/on-my-way,(610) 732-8683,"450 Parkway Drive#208Broomall, PA 19008","OnMyWay Delaware provides Coordinated Specialty Care (CSC) for young adults aged 15-30 experiencing their first episode of psychosis. The program offers a range of services, including low-dose medication management, individual and group therapy, family support, case management, and peer support. Emphasizing choice and empowerment, OnMyWay aims to improve the quality of life through education, relationship rebuilding, and community reintegration. Services are available for up to two years and are supported by Pennsylvania Medicaid and state Mental Health Block Grants. The program operates across several counties including Delaware, Chester, and Bucks."
Lehigh,FEP Site,OnMyWay Lehigh,www.childandfamilyfocus.org,(610) 732-8683,"2015 Hamilton StreetAllentown, PA 18104","OnMyWay Lehigh, located at 2015 Hamilton Street, Allentown, PA, offers comprehensive mental health support through various assistance programs, including those specifically related to COVID-19. The resource focuses on connecting individuals with local services that facilitate access to healthcare, mental wellness, food security, and housing support. Their mission is to provide guidance and resources that promote overall well-being and resilience during challenging times. By addressing the diverse needs of the community, OnMyWay Lehigh empowers individuals to improve their mental health and navigate available support systems effectively."
Northampton,FEP Site,OnMyWay Northampton,www.childandfamilyfocus.org,(610) 732-8683,"2015 Hamilton StreetAllentown, PA 18104","OnMyWay Northampton, located at 2015 Hamilton Street, Allentown, PA, offers comprehensive mental health support and resources tailored for individuals facing challenges related to COVID-19. The organization provides assistance in accessing essential services, including mental health counseling, substance abuse treatment, and emergency support. They focus on connecting community members with necessary resources to promote overall well-being and resilience during difficult times. Their commitment to community outreach ensures that those in need receive timely help and guidance."
Philadelphia,FEP Site,PEACE,www.hhinc.org/peace,(215) 387-3223,"520 Delaware AveSuite 303Philadelphia, PA 19123","PEACE (Psychosis Education, Assessment, Care and Empowerment) is a program offered by Horizon House, located in Philadelphia, PA. It supports individuals aged 15 and older experiencing their first episode of psychosis within the past year. PEACE provides multidisciplinary, evidence-based services to help participants manage symptoms, set life goals, and improve personal and social functioning. Services include education on psychosis, peer support, community integration, and strategies for success in work, school, and relationships, aiming to empower individuals to lead fulfilling lives while navigating their challenges."
Philadelphia,FEP Site,PERC,www.med.upenn.edu/bbl/penn-perc.html,(215) 662-2826,"3400 Spruce StreetPhiladelphia, PA 19104","PERC, located at 3400 Spruce Street, Philadelphia, is a multidisciplinary program dedicated to supporting adolescents and young adults (ages 16-30) showing early signs of psychosis. The program focuses on stabilizing symptoms, enhancing cognitive functioning, and optimizing overall well-being. Services include initial screening within 24-48 hours, followed by a thorough in-person assessment, which evaluates psychiatric, medical, and treatment histories. PERC aims to foster talents and relationships while providing a comprehensive support plan. The program is accessible to Pennsylvania residents and may accept insurance or offer fee-for-service options."
Erie,FEP Site,Safe Harbor,www.shbh.org,(814) 451-2283,"1330 W 26th StreetErie, PA 16508","Safe Harbor, located at 1330 W 26th Street in Erie, PA, is a key facility under UPMC Western Behavioral Health, offering comprehensive mental health services for adults and children. Key services include individual, couples, and group therapy, addiction medicine, crisis intervention available 24/7/365, psychiatric medication management, and blended case management. The facility enhances access to research-based care linked to UPMC Western Psychiatric Hospital, ensuring effective treatment for various behavioral health conditions and crises. Safe Harbor serves as an essential resource for those seeking mental health support within Erie County."
Allegheny,FEP Site,STEP,,(412) 246-5599,"3501 Forbes Ave3rd Floor, #308Pittsburgh, PA 15213","STEP (Services for the Treatment of Early Psychosis) is part of UPMC Western Psychiatric Hospital, located in Pittsburgh, PA. This specialized outpatient program provides comprehensive support for individuals experiencing early signs of psychosis. The multidisciplinary team offers evidence-based treatment, medication management, and peer support services tailored to meet each patient's unique needs. STEP emphasizes early intervention, aiming to enhance recovery and improve quality of life through personalized care plans. The program focuses on empowering patients and fostering a supportive environment for their mental health journey."
Carbon,Outpatient Behavioral Health Center,Outpatient Behavioral Health,,(610) 377-5988,"281 N 12th StreetLeighton, PA 18235","The Outpatient Behavioral Health Walk-In Center at St. Luke’s, located in Lehighton, PA, offers accessible mental health services for individuals aged 14 and older facing non-life-threatening issues. In a welcoming, non-residential environment, patients receive immediate assessments from crisis intervention specialists who guide them towards appropriate resources such as psychotherapy and community support. The center addresses various concerns, including anxiety, depression, mood swings, and suicidal ideation, while providing referrals for intensive care when needed. The average visit lasts about three hours, focusing on evaluations without medication dispensing."
Delaware,Parent Organization Secondary Schools,Garnet Valley Middle School; HSA,https://www.garnetvalleyschools.com/gvms,(610) 579-5100,"601 Smithbridge RoadGlen Mills, PA 19342","Garnet Valley Middle School, located in Glen Mills, PA, is part of the Garnet Valley School District and serves over 1,000 students. With a strong focus on academic excellence, it boasts a 14:1 student-teacher ratio and high certification among its faculty. The school offers a wide range of support services including counseling, special education, and health services. Community engagement initiatives and after-school programs foster a supportive environment for students, ensuring holistic development. The school's commitment to educational quality is reflected in its status as a top-rated institution in Pennsylvania."
Erie,Parent Organization Secondary Schools,Northwestern Elementary School; PTO,https://sites.google.com/nwsd.org/nw-elementary/home     https://www.facebook.com/groups/NWEPTC/,(814) 756-9400 Ext: 2,"10450 John Williams AvenueAlbion, PA 16401","The Northwestern Elementary School Parent-Teacher Organization (PTO) fosters a collaborative environment for parents, teachers, and students, enhancing educational experiences. Located within the Northwestern School District, it provides support through various initiatives including volunteering opportunities, fundraising for school projects, and organizing events that promote community involvement. The PTO also engages in advocacy for the needs and interests of students, ensuring a well-rounded educational environment. Programs focus on anti-bullying, wellness, and academic support, complementing the school's overall curriculum and reinforcing the mission to empower students."
Lycoming,Outpatient Behavioral Health Center,Lagniappe Behavioral Health,,(570) 979-9990,"360 Market St#201Williamsport, PA 17701","Lagniappe Behavioral Health, located in the Masonic Temple Building in Williamsport, PA, offers support groups led by Ashley Smith Nicholas. This resource is focused on providing mental health support through group therapy sessions, fostering community and connection for individuals facing mental health challenges. The facility is managed by Grow Therapy, ensuring a professional and supportive environment for those seeking help."
Centre,Outpatient Behavioral Health Center,Therapeutic Alliance,,(814) 234-1053,"315 S Allen Street#422State College, PA 16801","Therapeutic Alliance, located at 315 S Allen Street, State College, PA, offers counseling and mental health services tailored to individual needs. The facility focuses on fostering a strong therapeutic relationship to enhance healing and personal growth. Services include cognitive behavioral therapy, marriage counseling, and teen counseling, addressing a range of mental health concerns. With a commitment to providing a supportive environment, Therapeutic Alliance strives to empower clients on their mental health journeys."
Monroe,Community Organization,Community Care Behavioral Health,https://www.ccbh.com/,(866) 473-5862,"300 Community Drive#FTobyhanna, PA 18466","Community Care Behavioral Health, located in Tobyhanna, PA, has supported mental health recovery for over 20 years. As a health insurance company, it specializes in providing access to behavioral health treatment for mental health conditions and substance use disorders. The organization offers 24/7 member and provider phone lines, ensuring constant support. It is part of the UPMC Insurance Services Division, which includes several healthcare plans. Community Care is dedicated to enhancing members' health and quality of life through comprehensive behavioral health services."
Monroe,Community Organization,Crossroads Community Services – East Stroudsburg,https://www.rhd.org/program/crossroads-housingcommunity-services/,(570) 476-9228,"37 Dansbury TerraceEast Stroudsburg, PA 18301","Crossroads Community Services in East Stroudsburg offers vital support for individuals with mental illness through programs such as Blended Case Management, Permanent Supportive Housing, and a Flexible Housing Fund. Their services focus on empowering clients to achieve residential stability and self-sufficiency. The Street 2 Feet Outreach Center provides essential case management and resources for the homeless, including hygiene services and job search assistance. Crossroads believes in the capacity of individuals to thrive in the community, providing comprehensive support for residents of Carbon, Monroe, and Pike Counties."
Monroe,Outpatient Behavioral Health Center Residential Treatment Facility,The ReDCo Group – Stroudsburg,redcogrp.com,(570) 420-8070,"564 Main StreetStroudsburg, PA 18360","The ReDCo Group, located at 564 Main Street, Stroudsburg, PA, offers specialized mental health services as part of the Carbon-Monroe-Pike Mental Health and Developmental Services. This facility provides a Transition Age Psychiatric Rehabilitation Program designed to support adolescents and young adults in their journey to independence. Services include comprehensive assessments, individualized programming, and skill-building activities aimed at enhancing emotional well-being and social integration. The ReDCo Group emphasizes personalized care to meet the unique needs of each client, fostering a supportive environment for recovery and growth."
