,service,description,url,phone,url_phone
0,(211) Food Pantries/Soup Kitchens,"The NJ 2-1-1 Partnership connects individuals in need to food pantries and soup kitchens throughout New Jersey. Food pantries supply three to five days of groceries for home meal preparation, while soup kitchens provide hot, prepared meals. To locate nearby services, users can input their zip code on the NJ 211 website. It’s advisable to call ahead to check hours and food availability, as identification may be required for food pantry access, such as a Social Security card or photo ID, and some sites may request a referral letter.",https://nj211.org/food-pantries-and-soup-kitchens,,https://nj211.org/food-pantries-and-soup-kitchens
1,(NA) Narcotics Anonymous,Narcotics Anonymous (NA) offers support for individuals recovering from substance abuse. The NJ Statewide Meeting Directory helps users locate nearby NA meetings by entering a city or ZIP code. Meetings are available in-person as well as online and via phone. NA also provides Android and iPhone apps to facilitate meeting searches. Printable meeting lists can be accessed at meetinglist.nanj.org. NA encourages community involvement by allowing users to report any meeting changes to keep the directory current. Users can find support through various events and services dedicated to recovery.,https://m.narcoticsanonymousnj.org/Meetings/default.asp,,https://www.narcoticsanonymousnj.org/meetings/
2,(NA) Recovery,"(NA) Recovery offers a pre-chat survey as part of the 988 Lifeline, designed to facilitate immediate support for individuals in crisis. This resource gathers essential information to guide participants toward appropriate mental health services based on their specific needs. The survey is concise and user-friendly, ensuring a seamless experience that empowers users to connect with trained counselors. The platform prioritizes confidentiality and provides a supportive environment, making it easier for individuals to seek help and explore recovery options tailored to their situation.",https://988lifeline.org/chat,,https://988lifeline.org/chat
3,211 Code Blue Alert - NJ Warming Centers,"The 211 Code Blue Alert – NJ Warming Centers provide vital support during cold weather by offering shelter to unsheltered individuals in New Jersey. Activated when temperatures drop below freezing, the initiative involves local agencies coordinating to open Warming Centers, which are often located in public libraries, community centers, and senior centers. The alerts include information on active warming centers and their operating hours based on county declarations. This resource ensures safety and warmth for those in need during severe winter conditions.",https://nj211.org/njcodeblue,8776521148,https://nj211.org/njcodeblue
4,211-NJ-Homeless Hotline,"The 211-NJ-Homeless Hotline is New Jersey's state homeless assistance resource, connecting individuals experiencing homelessness with crucial community support to help break the cycle of homelessness. During business hours, callers are directed to their local County Social Service Agency for screening and resources. Outside of business hours, NJ 211 coordinates temporary emergency placements and provides referrals. Additionally, during Code Blue alerts, NJ 211 facilitates after-hours placements and identifies appropriate shelter options based on county-specific instructions, ensuring those in need receive vital assistance promptly.",https://nj211.org/initiative/state-homeless-hotline,211,https://nj211.org/initiative/state-homeless-hotline
5,262-HELP (Crisis Response Service),"262-HELP is Bergen County’s Psychiatric Emergency Screening Program, offering 24/7 emergency mental health services. Staffed by trained mental health screeners, the program provides mental health evaluations, crisis intervention, and support in the community or office, along with psychiatric evaluations and short-term medication management by psychiatrists. Peer support staff deliver counseling and psycho-education. Services are accessible for minors with parental consent, and although there are fees for evaluations, insurance may cover costs, ensuring no one is denied service due to financial constraints.",https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/,2012624357,https://www.bergenresourcenet.org/search/262-help-psychiatric-emergency-screening-program-pesp-care-plus-nj/
6,2NDFLOOR - for youth (24/7call or text),"2NDFLOOR is a confidential and anonymous helpline dedicated to supporting New Jersey youth. Available 24/7, it offers free, professional guidance on various issues, including bullying, mental health, LGBTQIA+ concerns, family challenges, and substance abuse. Youth can reach out through phone or text to talk about whatever is troubling them. Additionally, the 2NDFLOOR App provides a secure space for 1:1 chat support, peer messaging, and daily inspiration. By fostering a supportive community, 2NDFLOOR aims to help young individuals navigate their challenges effectively.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/
7,2NDFLOOR Helpline,"2NDFLOOR Helpline offers free, anonymous, and confidential support to youth in New Jersey, available 24/7. The service addresses a wide range of issues, including bullying, disordered eating, LGBTQIA+ concerns, mental health, and substance abuse. Youth can receive help by text or call, providing a safe space to discuss challenges at home, school, or in their communities. The resource also features a supportive app for one-on-one chat and peer interactions. Committed to youth empowerment, 2NDFLOOR encourages volunteers and donations to enhance its outreach and support initiatives.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/
8,"4CS of Passaic County, Inc.","4CS of Passaic County, Inc. is a nonprofit child-care resource and referral organization dedicated to helping families access high-quality, affordable child care. It administers one of New Jersey's largest child-care financial subsidy programs and offers extensive support services, including financial assistance, provider referrals, and parenting classes. The agency also provides resources for child-care providers, including licensing information, training, and grants. Located in Paterson, NJ, 4CS aims to ensure children are well cared for and can thrive. It empowers families through educational workshops and various support services tailored to both parents and child-care professionals.",https://www.4cspassaic.org/,9736841904,https://www.4cspassaic.org/contact-us/
9,55 Kip Center,"The 55 Kip Center is a vibrant community hub designed for older adults, offering programs that promote physical, emotional, educational, and spiritual well-being. Members can participate in classes, workshops, and events, while also enjoying homemade meals served four days a week. The center emphasizes active and enriching lifestyles, fostering peer connections and volunteer opportunities. With a low annual membership fee, it provides access to diverse activities in arts, fitness, and wellness, ensuring continued support for seniors' independence and community engagement. Located in Rutherford, NJ, it serves as a crucial resource for older adults and their families.",https://www.55kipcenter.org/,9736841904,https://www.55kipcenter.org/
10,7 Cups,"7 Cups offers a comprehensive mental health support platform, featuring free chat with trained listeners and access to licensed therapists. Users can seek help through online therapy sessions, community forums, and local resource directories specific to Landisville, NJ. The platform emphasizes connection through genuine conversations, peer support, and various specialized programs for diverse populations, addressing mental health challenges exacerbated by economic stressors. Users can easily find trained listeners and therapists, alongside resources for housing and food assistance, fostering resilience within the community. The service is available in multiple languages, ensuring accessibility for all.",https://www.7cups.com/local/us/nj/landisville/,,https://www.7cups.com/
11,7 Cups of Tea,"7 Cups of Tea is a free online support platform providing 24/7 access to trained volunteer listeners for emotional support through online chat. It emphasizes anonymity and offers a safe space to discuss feelings and challenges. Additionally, individuals seeking more structured help can opt for licensed online therapy starting at $33/week. Founded by psychologist Glen Moriarty, 7 Cups aims to foster connection and accessibility for users feeling isolated or needing to be heard. The service specifically targets those aged 18 and older, ensuring a supportive environment for all participants.",https://caps.tcnj.edu/resources/self-help-resources/7-cups-of-tea/,6097712247,https://caps.tcnj.edu/resources/self-help-resources/7-cups-of-tea/
12,A Better Tomorrow Counseling Service,"A Better Tomorrow Counseling Services offers comprehensive outpatient therapy in Turnersville, NJ, for individuals, couples, families, and children. Services include individual therapy for various conditions like ADHD, anxiety, depression, and trauma, as well as specialized support for LGBTQIA+ individuals, children, and teens. Therapeutic approaches include Cognitive Behavioral Therapy, EMDR, and Mindfulness-Based Therapy. Both telehealth and in-office appointments are available, and most insurance plans are accepted, making mental health support accessible and tailored to clients’ needs. Additionally, the practice provides coaching and support for life transitions, stress management, and relationship counseling.",https://abettertomorrowcounselingservices.com/,8562664983,https://abettertomorrowcounselingservices.com/
13,A Place For Us Atlantic County Women's Center - Linwood,"A Place For Us at the Atlantic County Women's Center, now known as AVANZAR, provides vital support for individuals and families impacted by abuse and marginalization. This organization offers services including emergency shelter, counseling, and a 24-hour hotline for domestic violence and sexual assault survivors. Their programs also focus on self-sufficiency for displaced homemakers, support for fathers, and assistance for victims of human trafficking. AVANZAR emphasizes empowerment through personal freedom, emotional well-being, and financial security, fostering safety and social justice in the community.",https://avanzarnow.org/,18002864184,https://avanzarnow.org/
