Dimension,Resource Name,Description,URL,Phone,combined
emotional,American Psychological Association (APA),"The APA offers resources on mental health education, research, and practice, including a locator for psychologists.",https://www.apa.org,,American Psychological Association (APA) https://www.apa.org
emotional,National Institute of Mental Health (NIMH),"NIMH provides information on mental disorders, research, and resources for individuals and families.",https://www.nimh.nih.gov,,National Institute of Mental Health (NIMH) https://www.nimh.nih.gov
emotional,Mental Health First Aid,A public education program that teaches people how to identify and respond to signs of mental illnesses and substance use disorders.,https://www.mentalhealthfirstaid.org,,Mental Health First Aid https://www.mentalhealthfirstaid.org
emotional,The Jed Foundation,A nonprofit organization focused on protecting emotional health and preventing suicide among teens and young adults through education and resources.,https://www.jedfoundation.org,,The Jed Foundation https://www.jedfoundation.org
emotional,Support Groups Central,"An online platform offering a variety of support groups for mental health issues, including anxiety, depression, and more.",https://www.supportgroupscentral.com,,Support Groups Central https://www.supportgroupscentral.com
emotional,National Center for PTSD,"A resource for veterans and others affected by trauma, offering information, treatment options, and support resources.",https://www.ptsd.va.gov,,National Center for PTSD https://www.ptsd.va.gov
emotional,The National Child Traumatic Stress Network,"Offers resources and support for children and families affected by trauma, including educational materials and treatment options.",https://www.nctsn.org,,The National Child Traumatic Stress Network https://www.nctsn.org
emotional,The Anxiety Network,"A resource providing information, articles, and support for individuals dealing with anxiety disorders.",https://www.anxietynetwork.com,,The Anxiety Network https://www.anxietynetwork.com
emotional,The National Alliance for Grieving Children,"Offers resources and support for children and families grieving the loss of a loved one, including local support groups.",https://childrengrieve.org,,The National Alliance for Grieving Children https://childrengrieve.org
emotional,The Recovery Village,"A resource for individuals seeking help for substance abuse and mental health issues, offering treatment options and support.",https://www.therecoveryvillage.com,,The Recovery Village https://www.therecoveryvillage.com
emotional,The American Foundation for Suicide Prevention (AFSP),"Provides resources for suicide prevention, including educational materials, support groups, and local chapters.",https://afsp.org,,The American Foundation for Suicide Prevention (AFSP) https://afsp.org
emotional,The Center for Nonprofit Research,"Provides resources for finding mental health and emotional wellness nonprofits in your area, including information on services.",https://www.centerfornonprofitresearch.org,,The Center for Nonprofit Research https://www.centerfornonprofitresearch.org
emotional,The National Mental Health Consumers' Self-Help Clearinghouse,A resource providing information about peer support and self-help resources for mental health consumers.,https://www.mhselfhelp.org,,The National Mental Health Consumers' Self-Help Clearinghouse https://www.mhselfhelp.org
emotional,The National Council for Behavioral Health,Represents mental health and addiction treatment organizations and provides resources for improving mental health care.,https://www.thenationalcouncil.org,,The National Council for Behavioral Health https://www.thenationalcouncil.org
emotional,The Wellbeing Trust,A foundation focused on advancing mental health and wellness through community resources and advocacy.,https://wellbeingtrust.org,,The Wellbeing Trust https://wellbeingtrust.org
emotional,New Jersey Association of Mental Health and Addiction Agencies,Offers resources and advocacy for mental health and addiction service providers in New Jersey.,https://www.njamhaa.org,,New Jersey Association of Mental Health and Addiction Agencies https://www.njamhaa.org
emotional,The National Association of School Psychologists (NASP),Provides resources and support for schools and families to promote emotional wellness and mental health in children and adolescents.,https://www.nasponline.org,,The National Association of School Psychologists (NASP) https://www.nasponline.org
emotional,The International Association for Trauma Professionals,"Provides resources, training, and certification for professionals working with trauma-affected individuals.",https://traumaprofessionals.com,,The International Association for Trauma Professionals https://traumaprofessionals.com
emotional,The National Domestic Violence Hotline,"A resource for individuals affected by domestic violence, offering support, safety planning, and local resources.",https://www.thehotline.org,1-800-799-SAFE (7233),The National Domestic Violence Hotline https://www.thehotline.org
emotional,The Child Mind Institute,"Provides resources for children's mental health, including articles, assessments, and treatment options for various disorders.",https://childmind.org,,The Child Mind Institute https://childmind.org
emotional,Psych Central,"An online resource offering articles, forums, and support for mental health issues, including a directory of therapists.",https://psychcentral.com,,Psych Central https://psychcentral.com
emotional,The GoodTherapy,"A directory of therapists and mental health professionals, along with educational resources and articles on emotional wellness.",https://www.goodtherapy.org,,The GoodTherapy https://www.goodtherapy.org
emotional,New Jersey Hope and Healing,"Offers emotional support and resources for individuals affected by disasters in New Jersey, focusing on recovery and resilience.",https://www.njhopeandhealing.org,1-877-294-HELP (4357),New Jersey Hope and Healing https://www.njhopeandhealing.org
emotional,The New Jersey Mental Health Association,"Provides advocacy, support, and education on mental health issues and community services in New Jersey.",https://www.njmentalhealthassociation.org,1-800-367-6274,The New Jersey Mental Health Association https://www.njmentalhealthassociation.org
emotional,The National Federation of Families for Children's Mental Health,"Focuses on family-driven support and advocacy for children with mental health challenges, offering resources and support networks.",https://ffcmh.org,,The National Federation of Families for Children's Mental Health https://ffcmh.org
physical,National Institute of Health (NIH),"NIH provides extensive information on various health topics, including physical wellness, fitness, nutrition, and disease prevention.",https://www.nih.gov,,National Institute of Health (NIH) https://www.nih.gov
physical,ChooseMyPlate.gov,"This USDA site provides dietary guidelines, tools, and tips for healthy eating and physical activity for all age groups.",https://www.choosemyplate.gov,,ChooseMyPlate.gov https://www.choosemyplate.gov
physical,American Heart Association,"The AHA offers resources on heart health, including physical activity recommendations, nutrition tips, and health education materials.",https://www.heart.org,,American Heart Association https://www.heart.org
physical,Fitness.gov,"A government site promoting physical activity with guidelines, resources, and tips for individuals and organizations to improve fitness.",https://www.fitness.gov,,Fitness.gov https://www.fitness.gov
physical,National Fitness Campaign,Promotes active lifestyles through community fitness initiatives and provides resources for building outdoor fitness parks.,https://nationalfitnesscampaign.com,,National Fitness Campaign https://nationalfitnesscampaign.com
physical,American Council on Exercise (ACE),ACE provides certification for fitness professionals and offers resources and educational materials on health and fitness.,https://www.acefitness.org,,American Council on Exercise (ACE) https://www.acefitness.org
physical,National Institute on Aging (NIA),"NIA provides resources specifically for older adults, focusing on exercise, healthy eating, and maintaining physical wellness as we age.",https://www.nia.nih.gov,,National Institute on Aging (NIA) https://www.nia.nih.gov
physical,Go4Life,A program from the NIA promoting exercise and physical activity as a way to stay healthy and active in older age.,https://go4life.nia.nih.gov,,Go4Life https://go4life.nia.nih.gov
physical,National Park Service (NPS),"Offers resources for outdoor physical activities such as hiking, biking, and more across national parks throughout the US.",https://www.nps.gov,,National Park Service (NPS) https://www.nps.gov
physical,Let’s Move!,An initiative aimed at promoting physical activity and healthy eating for children and families across the nation.,https://letsmove.obamawhitehouse.archives.gov,,Let’s Move! https://letsmove.obamawhitehouse.archives.gov
physical,MyFitnessPal,"A mobile app and website that helps users track food intake and exercise, promoting overall physical wellness and healthy habits.",https://www.myfitnesspal.com,,MyFitnessPal https://www.myfitnesspal.com
