Dimension,Resource Name,Description,URL,Phone
emotional,National Alliance on Mental Illness (NAMI),"NAMI provides education, support, and advocacy for individuals affected by mental illness. They offer a helpline, local chapters, and programs for families and individuals.",https://www.nami.org,1-800-950-NAMI (6264)
emotional,Mental Health America (MHA),"MHA promotes mental health as a critical part of overall wellness. They provide resources for early identification and intervention, as well as screening tools.",https://www.mhanational.org,1-800-969-6642
emotional,Substance Abuse and Mental Health Services Administration (SAMHSA),"SAMHSA offers a treatment locator, a national helpline, and resources for mental health and substance use disorders.",https://www.samhsa.gov,1-800-662-HELP (4357)
emotional,Crisis Text Line,"A free, 24/7 text service that connects individuals in crisis with trained crisis counselors via text message.",https://www.crisistextline.org,NaN
emotional,BetterHelp,An online platform that connects individuals with licensed therapists for virtual counseling sessions.,https://www.betterhelp.com,NaN
emotional,Talkspace,"An online therapy platform offering counseling via text, audio, and video messaging with licensed therapists.",https://www.talkspace.com,NaN
emotional,7 Cups,A free online text chat service that provides emotional support and counseling with trained listeners and licensed therapists.,https://www.7cups.com,NaN
emotional,American Psychological Association (APA),"The APA offers resources on mental health education, research, and practice, including a locator for psychologists.",https://www.apa.org,NaN
emotional,National Suicide Prevention Lifeline,A nationwide network of crisis centers that provide 24/7 support for individuals in distress or crisis.,https://suicidepreventionlifeline.org,1-800-273-TALK (8255)
emotional,National Institute of Mental Health (NIMH),"NIMH provides information on mental disorders, research, and resources for individuals and families.",https://www.nimh.nih.gov,NaN
emotional,The Trevor Project,"A crisis intervention and suicide prevention organization for LGBTQ youth, offering 24/7 support and resources.",https://www.thetrevorproject.org,1-866-488-7386
emotional,Mental Health First Aid,A public education program that teaches people how to identify and respond to signs of mental illnesses and substance use disorders.,https://www.mentalhealthfirstaid.org,NaN
emotional,New Jersey Division of Mental Health and Addiction Services,"Provides information and resources for mental health and addiction services in New Jersey, including local treatment options.",https://www.nj.gov/humanservices/dmhas,1-800-382-6717
emotional,New Jersey Mental Health Cares,"A resource for New Jersey residents offering mental health services, support, and information about accessing care.",https://www.njmentalhealthcares.org,1-866-202-HELP (4357)
emotional,The Jed Foundation,A nonprofit organization focused on protecting emotional health and preventing suicide among teens and young adults through education and resources.,https://www.jedfoundation.org,NaN
emotional,Copeland Center for Wellness and Recovery,Offers training and resources for individuals with mental health challenges focusing on recovery and wellness.,https://copelandcenter.com,NaN
emotional,Support Groups Central,"An online platform offering a variety of support groups for mental health issues, including anxiety, depression, and more.",https://www.supportgroupscentral.com,NaN
emotional,Anxiety and Depression Association of America (ADAA),"Provides resources, information, and support for individuals dealing with anxiety and depression, including a therapist directory.",https://adaa.org,NaN
emotional,National Center for PTSD,"A resource for veterans and others affected by trauma, offering information, treatment options, and support resources.",https://www.ptsd.va.gov,NaN
emotional,The National Child Traumatic Stress Network,"Offers resources and support for children and families affected by trauma, including educational materials and treatment options.",https://www.nctsn.org,NaN
emotional,The Anxiety Network,"A resource providing information, articles, and support for individuals dealing with anxiety disorders.",https://www.anxietynetwork.com,NaN
emotional,The National Alliance for Grieving Children,"Offers resources and support for children and families grieving the loss of a loved one, including local support groups.",https://childrengrieve.org,NaN
emotional,The Recovery Village,"A resource for individuals seeking help for substance abuse and mental health issues, offering treatment options and support.",https://www.therecoveryvillage.com,NaN
emotional,The American Foundation for Suicide Prevention (AFSP),"Provides resources for suicide prevention, including educational materials, support groups, and local chapters.",https://afsp.org,NaN
emotional,The Center for Nonprofit Research,"Provides resources for finding mental health and emotional wellness nonprofits in your area, including information on services.",https://www.centerfornonprofitresearch.org,NaN
emotional,The National Mental Health Consumers' Self-Help Clearinghouse,A resource providing information about peer support and self-help resources for mental health consumers.,https://www.mhselfhelp.org,NaN
emotional,The National Council for Behavioral Health,Represents mental health and addiction treatment organizations and provides resources for improving mental health care.,https://www.thenationalcouncil.org,NaN
emotional,The Wellbeing Trust,A foundation focused on advancing mental health and wellness through community resources and advocacy.,https://wellbeingtrust.org,NaN
emotional,New Jersey Association of Mental Health and Addiction Agencies,Offers resources and advocacy for mental health and addiction service providers in New Jersey.,https://www.njamhaa.org,NaN
emotional,The National Association of School Psychologists (NASP),Provides resources and support for schools and families to promote emotional wellness and mental health in children and adolescents.,https://www.nasponline.org,NaN
emotional,The National Eating Disorders Association (NEDA),"Offers resources and support for individuals struggling with eating disorders, including a helpline and treatment locator.",https://www.nationaleatingdisorders.org,1-800-931-2237
emotional,The International Association for Trauma Professionals,"Provides resources, training, and certification for professionals working with trauma-affected individuals.",https://traumaprofessionals.com,NaN
emotional,The National Domestic Violence Hotline,"A resource for individuals affected by domestic violence, offering support, safety planning, and local resources.",https://www.thehotline.org,1-800-799-SAFE (7233)
emotional,The Child Mind Institute,"Provides resources for children's mental health, including articles, assessments, and treatment options for various disorders.",https://childmind.org,NaN
