service,description,url,phone,url_phone,address,action
262-HELP (Crisis Response Service),,,,,,
(NA) Narcotics Anonymous,"Narcotics Anonymous of New Jersey provides support for individuals recovering from drug addiction through regular meetings, resources, and a 24-hour helpline. 

**Location:** Various locations across New Jersey (specific meeting locations can be found using their Meeting Finder tool).  
**Hours:** Meetings occur throughout the week; times vary by location. Participants are encouraged to find a meeting that fits their schedule.  
**Requirements:** There are no formal requirements to attend meetings; all individuals struggling with addiction are welcome. Confidential support and a commitment to sobriety through the NA 12 Steps and 12 Traditions are emphasized. For immediate help, individuals can call the helpline at 800-992-0401.",https://www.nanj.org/,8009920401,https://www.nanj.org/,"""""",Call the 24-Hour NA Helpline at 800-992-0401 if you feel you have a problem with drugs.
(211) Food Pantries/Soup Kitchens,"The NJ 2-1-1 Partnership provides information on food pantries and soup kitchens in New Jersey. Food pantries supply three to five days of food for home preparation, while soup kitchens serve prepared meals. Users can find local resources by visiting nj211.org, entering their zip code, and searching for food assistance options. It's recommended to call ahead to confirm operating hours and availability. Most food pantries may require identification, such as a Social Security card or photo ID, and some may ask for a referral letter from a County Social Service Agency or community organization.",https://nj211.org/food-pantries-and-soup-kitchens,,https://nj211.org/food-pantries-and-soup-kitchens,"""""",Visit the NJ 211 homepage and enter your zip code to find nearby food pantries or soup kitchens.
(NA) Recovery,"Narcotics Anonymous of New Jersey offers support for individuals struggling with drug addiction through meetings and events aimed at recovery. The organization emphasizes that recovery is possible through its fellowship and the principles of the 12 Steps and 12 Traditions of NA. 

Location: Various meeting locations across New Jersey.

Hours: Meeting times vary; individuals can find specific meeting times using the meeting finder tool on their website.

Requirements: There are no prerequisites to join; anyone seeking help with drug addiction is welcome. Participants can contact the 24-Hour NA Helpline at 800-992-0401 for immediate assistance and information.",https://www.nanj.org/,8009920401,https://www.nanj.org/,"```  
```",Call the 24-Hour NA Helpline at 800-992-0401 if you feel you have a problem with drugs.
211 Code Blue Alert - NJ Warming Centers,"New Jersey Code Blue is a program activated during severe cold weather to provide shelter for unsheltered individuals. The service operates 24/7 through NJ 2-1-1, which can be accessed by dialing 2-1-1 or 877-652-1148, or texting your zip code to 898-211. 

During Code Blue activations, which occur when temperatures drop below freezing, warming centers are opened across various counties, including libraries, community centers, and municipal buildings. Currently, warming centers can be found in counties such as Hunterdon, Morris, Somerset, Sussex, and Warren. Some centers have specific requirements for access, such as residency. 

For the Hunterdon County Warming Center, individuals and couples from Hunterdon County can seek shelter at specified locations, while Morris County's offer includes specific facilities like libraries and municipal buildings, and some centers may have restrictions based on medication needs or other criteria.

To utilize these resources, individuals should check for active declarations, which are updated regularly, and may contact local emergency management for more information.",https://nj211.org/njcodeblue,8776521148,https://nj211.org/njcodeblue,"8 Gauntt Place, Flemington, NJ 08822",Advocate for NJ 211 to receive full funding in the state budget.
2NDFLOOR - for youth (24/7call or text),"2NDFLOOR is a confidential and anonymous youth helpline in New Jersey, available 24/7 at 1.888.222.2228. It provides free, professional support for various issues including bullying, dating, disordered eating, family matters, mental health, LGBTQIA+ concerns, and substance abuse. The service is designed for youth seeking someone to talk to about their problems, and it also features an app for confidential chat support and community engagement. While the service guarantees anonymity, it is required by law to report any life-threatening situations or abuse. For emergencies, contact 911 or the National Suicide Prevention Lifeline at 988.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/,"""""",Text or call 1.888.222.2228 for immediate assistance.
2NDFLOOR Helpline,"2NDFLOOR is a confidential and anonymous youth helpline based in New Jersey, available 24/7 at 1.888.222.2228. The service offers free support for various issues such as bullying, dating, disordered eating, mental health, and substance abuse. There are no specific requirements to access the service; it's designed for any youth in need of help. The organization also encourages donations and volunteer opportunities. Additionally, they provide a mobile app for confidential chat support and resources. In emergencies, they advise contacting local authorities or emergency services.",https://www.2ndfloor.org/,18882222228,https://www.2ndfloor.org/,"""""",Text or talk to 2NDFLOOR at 1.888.222.2228 for confidential support.
55 Kip Center,,,,,,
7 Cups,"The resource provides information about mental health and social services in Freehold, NJ. It features a variety of local support and community resources aimed at addressing mental health challenges among residents. The directory includes listings for licensed therapists, treatment centers, housing assistance, food pantries, and faith-based support in the area. 

Operating hours are not specifically listed, suggesting users should contact individual service providers for details. There are no specific requirements mentioned for accessing the services, making them generally available to residents seeking help. Additionally, the platform offers online therapy options and the opportunity to engage with trained listeners through chat services.",https://www.7cups.com/local/us/nj/freehold/,,https://www.7cups.com/BrowseListeners/,"Freehold, NJ","Explore the directory to find a licensed therapist in Freehold, NJ."
"4CS of Passaic County, Inc.","4Cs of Passaic County, a non-profit child-care resource and referral organization, is located at 2 Market Street, Suite 300, Paterson, NJ 07501. They operate Monday to Friday from 8:30 AM to 4:30 PM. The agency administers one of the largest childcare financial subsidy programs in New Jersey, assisting families in accessing high-quality, affordable child care. For updates, individuals can join their notification list by texting “Join” to the provided number.",https://www.4cspassaic.org/,9736841904,https://www.4cspassaic.org/contact-us/,"2 Market Street, Suite 300 (within the Paterson Museum Building)  
Paterson, NJ 07501",Text “Join” to the number provided to receive important updates and notifications.
